id,photo_num,filename,cloudinary_url,public_id,width,height,bytes
62,3,62_KEDİ ve KÖPEK_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218861/alan-art-coffee/eser_62_KED%C4%B0_ve_K%C3%96PEK_3.jpg,alan-art-coffee/eser_62_KEDİ_ve_KÖPEK_3,3000,4000,1293095
63,1,63_DALDAKİ KUŞ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218873/alan-art-coffee/eser_63_DALDAK%C4%B0_KU%C5%9E_1.jpg,alan-art-coffee/eser_63_DALDAKİ_KUŞ_1,3000,4000,1979607
63,2,63_DALDAKİ KUŞ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218884/alan-art-coffee/eser_63_DALDAK%C4%B0_KU%C5%9E_2.jpg,alan-art-coffee/eser_63_DALDAKİ_KUŞ_2,3000,4000,1644604
63,3,63_DALDAKİ KUŞ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218893/alan-art-coffee/eser_63_DALDAK%C4%B0_KU%C5%9E_3.jpg,alan-art-coffee/eser_63_DALDAKİ_KUŞ_3,3000,4000,1181925
64,1,64_UÇAN KUŞ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218904/alan-art-coffee/eser_64_U%C3%87AN_KU%C5%9E_1.jpg,alan-art-coffee/eser_64_UÇAN_KUŞ_1,3000,4000,2012731
64,2,64_UÇAN KUŞ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218914/alan-art-coffee/eser_64_U%C3%87AN_KU%C5%9E_2.jpg,alan-art-coffee/eser_64_UÇAN_KUŞ_2,3000,4000,1683133
64,3,64_UÇAN KUŞ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218923/alan-art-coffee/eser_64_U%C3%87AN_KU%C5%9E_3.jpg,alan-art-coffee/eser_64_UÇAN_KUŞ_3,3000,4000,1182748
65,1,65_AMFITRITI_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218935/alan-art-coffee/eser_65_AMFITRITI_1.jpg,alan-art-coffee/eser_65_AMFITRITI_1,3000,4000,2127207
65,2,65_AMFITRITI_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218943/alan-art-coffee/eser_65_AMFITRITI_2.jpg,alan-art-coffee/eser_65_AMFITRITI_2,3000,4000,1494040
66,1,66_CAN YÜCEL KARİKATÜR_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218956/alan-art-coffee/eser_66_CAN_Y%C3%9CCEL_KAR%C4%B0KAT%C3%9CR_1.jpg,alan-art-coffee/eser_66_CAN_YÜCEL_KARİKATÜR_1,3000,4000,2232520
66,2,66_CAN YÜCEL KARİKATÜR_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218967/alan-art-coffee/eser_66_CAN_Y%C3%9CCEL_KAR%C4%B0KAT%C3%9CR_2.jpg,alan-art-coffee/eser_66_CAN_YÜCEL_KARİKATÜR_2,3000,4000,1981554
66,3,66_CAN YÜCEL KARİKATÜR_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218976/alan-art-coffee/eser_66_CAN_Y%C3%9CCEL_KAR%C4%B0KAT%C3%9CR_3.jpg,alan-art-coffee/eser_66_CAN_YÜCEL_KARİKATÜR_3,3000,4000,1385968
67,1,67_CHE SİLÜETİ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218988/alan-art-coffee/eser_67_CHE_S%C4%B0L%C3%9CET%C4%B0_1.jpg,alan-art-coffee/eser_67_CHE_SİLÜETİ_1,3000,4000,1871935
67,2,67_CHE SİLÜETİ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218997/alan-art-coffee/eser_67_CHE_S%C4%B0L%C3%9CET%C4%B0_2.jpg,alan-art-coffee/eser_67_CHE_SİLÜETİ_2,3000,4000,1561339
67,3,67_CHE SİLÜETİ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219007/alan-art-coffee/eser_67_CHE_S%C4%B0L%C3%9CET%C4%B0_3.jpg,alan-art-coffee/eser_67_CHE_SİLÜETİ_3,3000,4000,1211659
